,data_solicitacao,data_venda,data_pagto,valor_venda,pol_comissao,valor_comissao,estado_cliente,estado_vendedor,produto,vendedor_id
0,13/01/2021,12/01/2021,01/02/2021,none,un.,750.0,SC,PR,A,V_1
1,14/02/2021,16/02/2021,01/03/2021,none,un.,750.0,SC,PR,A,V_1
2,17/02/2021,18/02/2021,01/03/2021,none,un.,750.0,none,PR,A,V_23
3,21/03/2021,25/03/2021,01/04/2021,none,un.,750.0,none,PR,A,V_23
4,29/01/2021,31/01/2021,01/03/2021,none,un.,750.0,none,PR,A,V_30
5,02/03/2021,07/03/2021,01/04/2021,none,un.,750.0,none,PR,A,V_30
6,15/01/2021,14/01/2021,01/02/2021,none,un.,750.0,none,RJ,A,V_20
7,16/02/2021,18/02/2021,01/03/2021,none,un.,750.0,none,RJ,A,V_20
8,02/02/2021,31/01/2021,01/03/2021,none,un.,750.0,none,RJ,A,V_22
9,06/03/2021,07/03/2021,01/04/2021,none,un.,750.0,none,RJ,A,V_22
10,16/01/2021,14/01/2021,01/02/2021,none,un.,750.0,SP,RS,A,V_2
11,17/02/2021,18/02/2021,01/03/2021,none,un.,750.0,SP,RS,A,V_2
12,11/01/2021,13/01/2021,01/02/2021,none,un.,750.0,none,RS,A,V_25
13,12/02/2021,17/02/2021,01/03/2021,none,un.,750.0,none,RS,A,V_25
14,17/01/2021,20/01/2021,01/02/2021,none,un.,750.0,none,SC,A,V_24
15,18/02/2021,24/02/2021,01/03/2021,none,un.,750.0,none,SC,A,V_24
16,21/02/2021,20/02/2021,01/03/2021,none,un.,750.0,RS,SC,A,V_4
17,25/03/2021,27/03/2021,01/04/2021,none,un.,750.0,RS,SC,A,V_4
18,03/02/2021,14/02/2021,01/03/2021,none,un.,750.0,SP,SP,A,V_3
19,07/03/2021,21/03/2021,01/04/2021,none,un.,750.0,SP,SP,A,V_3
20,25/04/2021,12/07/2021,none,280000.0,1.0%,2800.0,MG,MG,B,V_6
